#TYPE Microsoft.Windows.ServerManager.Commands.Feature
"Name","DisplayName","Description","Installed","InstallState","FeatureType","Path","Depth","DependsOn","Parent","ServerComponentDescriptor","SubFeatures","SystemService","Notification","BestPracticesModelId","EventQuery","PostConfigurationNeeded","AdditionalInfo"
"ADCS-Web-Enrollment","証明機関 Web 登録","証明機関 Web 登録は、証明書の要求や更新、証明書失効リスト (CRL) の取得、スマート カード証明書の登録のための単純な Web インターフェイスを提供します。","False","Available","Role Service","Active Directory 証明書サービス\証明機関 Web 登録","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Web_Enrollment","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"ADCS-Enroll-Web-Svc","証明書の登録 Web サービス","証明書の登録 Web サービスを使用すると、ユーザーおよびコンピューターは、コンピューターがドメインのメンバーでない場合や、ドメインに参加しているコンピューターが一時的にコンピューター ネットワークのセキュリティ境界から外れている場合であっても証明書の登録と更新が可能になります。証明書の登録 Web サービスは証明書の登録ポリシー Web サービスと連携して、これらのユーザーおよびコンピューターにポリシー ベースの自動証明書登録を提供します。","False","Available","Role Service","Active Directory 証明書サービス\証明書の登録 Web サービス","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Enroll_Web_Svc","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"ADCS-Enroll-Web-Pol","証明書の登録ポリシー Web サービス","証明書の登録ポリシー Web サービスを使用すると、ユーザーおよびコンピューターは、コンピューターがドメインのメンバーでない場合や、ドメインに参加しているコンピューターが一時的に企業のネットワークのセキュリティ境界から外れている場合であっても証明書の登録ポリシー情報を取得できます。証明書の登録ポリシー Web サービスは証明書の登録 Web サービスと連携して、これらのユーザーおよびコンピューターにポリシー ベースの自動証明書登録を提供します。","False","Available","Role Service","Active Directory 証明書サービス\証明書の登録ポリシー Web サービス","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Enroll_Web_Pol","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"DHCP","DHCP サーバー","動的ホスト構成プロトコル (DHCP) サーバーを使用すると、クライアント コンピューター用の一時的な IP アドレスおよび関連情報を一元的に構成、管理、および提供できます。","False","Available","Role","DHCP サーバー","1","System.String[]",,"ServerComponent_DHCP","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/DHCPServer","DhcpServer.Events.xml","False","System.Collections.Hashtable"
"DNS","DNS サーバー","ドメイン ネーム システム (DNS) サーバーは、TCP/IP ネットワークの名前解決を行います。DNS サーバーは、Active Directory ドメイン サービスと同じサーバーにインストールすると簡単に管理できます。Active Directory ドメイン サービスの役割を選択すると、DNS サーバーと Active Directory ドメイン サービスが連携して動作するようにインストールおよび構成できます。","False","Available","Role","DNS サーバー","1","System.String[]",,"ServerComponent_DNS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/DNSServer","DnsServer.Events.xml","False","System.Collections.Hashtable"
"Fax","FAX サーバー","FAX サーバーは、FAX を送受信し、ユーザーがこのコンピューター上またはネットワーク上のジョブ、設定、レポート、FAX デバイスなどの FAX リソースを管理できるようにします。","False","Available","Role","FAX サーバー","1","System.String[]",,"ServerComponent_Fax","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","FaxServer.Events.xml","False","System.Collections.Hashtable"
"HostGuardianServiceRole","Host Guardian サービス","Host Guardian サービス (HGS) サーバーの役割は、構成証明とキー保護のサービスを提供します。これにより、保護されたホストはシールドされた仮想マシンを実行できます。構成証明サービスは保護されたホストの ID と構成を検証します。キー保護サービスは暗号化されたトランスポート キーへの分散アクセスを可能にし、保護されたホストがシールドされた仮想マシンをロック解除して実行できるようにします。","False","Available","Role","Host Guardian サービス","1","System.String[]",,"ServerComponent_HostGuardianServiceRole","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","HostGuardianService.events.xml","False","System.Collections.Hashtable"
"Hyper-V","Hyper-V","Hyper-V は、仮想マシンとそのリソースの作成および管理に使用できるサービスを提供します。各仮想マシンは仮想化されたコンピューター システムで、それぞれ分離された実行環境で動作します。これにより、複数のオペレーティング システムを同時に実行できます。","False","Available","Role","Hyper-V","1","System.String[]",,"ServerComponent_HyperV","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/Hyper-V","Virtualization.Events.xml","False","System.Collections.Hashtable"
"Web-Server","Web サーバー (IIS)","Web サーバー (IIS) は、信頼性、管理性に優れた、スケーラブルな Web アプリケーション インフラストラクチャです。","False","Available","Role","Web サーバー (IIS)","1","System.String[]",,"ServerComponent_Web_Server","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/WebServer","WebServer.Events.xml","False","System.Collections.Hashtable"
"Web-WebServer","Web サーバー","Web サーバーでは HTML Web サイトのほか、必要に応じて ASP.NET、ASP、および Web サーバー拡張がサポートされます。Web サーバーを使用して、内部または外部の Web サイトをホストしたり、開発者に Web ベースのアプリケーションの開発環境を提供することができます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー","2","System.String[]","Web-Server","ServerComponent_Web_WebServer","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Common-Http","HTTP 共通機能","HTTP 共通機能は、標準ファイル形式の配信やサーバー プロパティのカスタム構成など、基本的な HTTP 機能をサポートするものです。HTTP 共通機能を使用して、独自のエラー メッセージを作成したり、ドキュメント指定のない要求に対するサーバーの応答方法を構成したり、いくつかの要求を自動的に別の場所にリダイレクトすることができます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能","3","System.String[]","Web-WebServer","ServerComponent_Web_Common_Http","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Http-Errors","HTTP エラー","HTTP エラーでは、Web サーバーで障害状態が検出されたときにユーザーのブラウザーに表示するエラー メッセージをカスタマイズできます。HTTP エラーを使用して、ユーザーにエラー メッセージをわかりやすく表示してください。エラー解決に協力できる担当者の電子メール アドレスをユーザーに公開することもお勧めします。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\HTTP エラー","4","System.String[]","Web-Common-Http","ServerComponent_Web_Http_Errors","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Dir-Browsing","ディレクトリの参照","ディレクトリの参照によって、ユーザーは Web サーバー上のディレクトリのコンテンツを確認できます。ディレクトリの参照を使用すると、ユーザーが URL でファイルを指定せず、既定のドキュメントが無効であるか構成されていない場合に、ディレクトリ内で閲覧可能なすべてのディレクトリとファイルの一覧が自動的に生成されます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\ディレクトリの参照","4","System.String[]","Web-Common-Http","ServerComponent_Web_Dir_Browsing","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Default-Doc","既定のドキュメント","既定のドキュメントを使用して Web サーバーに既定のファイルを構成し、ユーザーが URL でファイルを指定しなかった場合に既定のファイルを返すことができます。既定のドキュメントを使用すると、ユーザーが Web サイトにアクセスしやすくなります。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\既定のドキュメント","4","System.String[]","Web-Common-Http","ServerComponent_Web_Default_Doc","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Static-Content","静的なコンテンツ","静的なコンテンツを使用すると、Web サーバーでは HTML ページや画像ファイルなどの静的な Web ファイル形式を公開できます。静的なコンテンツを使用して Web サーバーで公開したファイルは、ユーザーが Web ブラウザーを使用して閲覧できます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\静的なコンテンツ","4","System.String[]","Web-Common-Http","ServerComponent_Web_Static_Content","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Http-Redirect","HTTP リダイレクト","HTTP リダイレクションを使用すると、ユーザー要求を特定の場所にリダイレクトできます。顧客が特定の URL を入力したときに、実際は別の URL が表示されるようにする場合は、常に HTTP リダイレクションを使用してください。この方法は、Web サイトの名前を単に変更する場合、スペルの難しいドメイン名を利用する場合、セキュリティで保護されたチャネルの使用をクライアントに強制する場合など、多くの場合に有効です。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\HTTP リダイレクト","4","System.String[]","Web-Common-Http","ServerComponent_Web_Http_Redirect","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-DAV-Publishing","WebDAV 発行","WebDAV 発行 (Web Distributed Authoring and Versioning) により、HTTP プロトコルを使用して Web サーバーにファイルを公開したり、Web サーバーからファイルを公開することができます。WebDAV は HTTP を使用するため、変更なしにほとんどのファイアウォール越しに機能します。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\HTTP 共通機能\WebDAV 発行","4","System.String[]","Web-Common-Http","ServerComponent_Web_DAV_Publishing","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Security","セキュリティ","セキュリティは、ユーザーや要求から Web サーバーを保護するためのインフラストラクチャです。IIS では複数の認証方法がサポートされているので、サーバーの役割に応じて適切な認証スキームを選択できます。すべての着信要求にフィルターを適用し、ユーザー定義の値と一致する要求は処理しないで拒否する、発信元アドレス空間に基づいて要求を制限するなどの対策をとることをお勧めします。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ","3","System.String[]","Web-WebServer","ServerComponent_Web_Security","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Filtering","要求フィルター","要求フィルターでは、サーバーへの着信要求がすべてスクリーンされ、管理者によって設定された規則に基づきフィルターが適用されます。悪意のある攻撃の多くは、極端に長い要求、異常な処理の要求など共通の特徴を備えています。要求をフィルター処理することは、この種の要求による影響を軽減するのに役立ちます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\要求フィルター","4","System.String[]","Web-Security","ServerComponent_Web_Filtering","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Cert-Auth","IIS クライアント証明書マッピング認証","IIS クライアント証明書マッピング認証では、クライアント証明書を使用してユーザーを認証します。クライアント証明書とは、信頼できる作成元から発行されているデジタル ID です。IIS では、クライアント証明書のマッピングを使用する 2 種類の認証が利用できます。この種の認証では IIS を使用して、1 対 1 または多対 1 の証明書マッピングを行います。IIS のネイティブな証明書マッピングを行うとパフォーマンスが向上します。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\IIS クライアント証明書マッピング認証","4","System.String[]","Web-Security","ServerComponent_Web_Cert_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-IP-Security","IP およびドメインの制限","IP およびドメインの制限では、要求の発信元 IP アドレスまたはドメイン名に基づいて、コンテンツを有効化または拒否できます。グループ、役割、NTFS ファイル システムのアクセス許可によってコンテンツへのアクセスを制御するのではなく、特定の IP アドレスまたはドメイン名を使用してアクセスを制御できます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\IP およびドメインの制限","4","System.String[]","Web-Security","ServerComponent_Web_IP_Security","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-CertProvider","SSL 証明書の集中サポート","SSL 証明書の集中サポートにより、ファイル共有を使用して、SSL サーバー証明書を一元管理できます。SSL サーバー証明書をファイル共有に保持すると、1 か所で管理できるため、管理が容易になります。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\SSL 証明書の集中サポート","4","System.String[]","Web-Security","ServerComponent_Web_CertProvider","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Url-Auth","URL 承認","URL 承認では、Web コンテンツへのアクセスを制限する規則を作成でき、作成した規則をユーザー、グループ、または HTTP ヘッダーの動詞にバインドできます。URL 承認規則を構成することにより、特定グループのメンバーでない従業員がコンテンツにアクセスしたり Web ページを利用するのを防ぐことができます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\URL 承認","4","System.String[]","Web-Security","ServerComponent_Web_Url_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Windows-Auth","Windows 認証","Windows 認証は、内部 Web サイト向けの低コストの認証ソリューションです。この認証スキームを採用すると、Windows ドメインの管理者はドメイン インフラストラクチャをユーザー認証に活用できます。ファイアウォールやプロキシ サーバー経由で Web サイトにアクセスするユーザーを認証する必要がある場合は、Windows 認証は使用しないでください。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\Windows 認証","4","System.String[]","Web-Security","ServerComponent_Web_Windows_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Client-Auth","クライアント証明書マッピング認証","クライアント証明書マッピング認証では、クライアント証明書を使用してユーザーを認証します。クライアント証明書とは、信頼できる作成元から発行されているデジタル ID です。IIS では、クライアント証明書のマッピングを使用する 2 種類の認証が利用できます。この種の認証では、Active Directory を使って複数の Web サーバーに対し 1 対 1 の証明書マッピングを行います。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\クライアント証明書マッピング認証","4","System.String[]","Web-Security","ServerComponent_Web_Client_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Digest-Auth","ダイジェスト認証","ダイジェスト認証では、パスワード ハッシュを Windows のドメイン コントローラーに送信することによりユーザーを認証します。基本認証のセキュリティを強化する場合、特にファイアウォールやプロキシ サーバー経由で Web サイトにアクセスするユーザーを認証する必要がある場合は、ダイジェスト認証の使用を検討してください。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\ダイジェスト認証","4","System.String[]","Web-Security","ServerComponent_Web_Digest_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Basic-Auth","基本認証","基本認証には高いブラウザー互換性があります。この認証方法は小規模な内部ネットワーク向けのもので、公共のインターネットではほとんど使用されません。この方法の大きな欠点は、ネットワークを介して送信されるパスワードの暗号化アルゴリズムが見破られやすいことです。傍受されたパスワードは簡単に解読可能です。したがって、基本認証は SSL と共に使用してください。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\セキュリティ\基本認証","4","System.String[]","Web-Security","ServerComponent_Web_Basic_Auth","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Performance","パフォーマンス","パフォーマンスは出力キャッシュを行うためのインフラストラクチャです。これは、ASP.NET の動的出力キャッシュ機能と IIS 6.0 で提供されていた静的出力キャッシュ機能を統合することによって実現されます。IIS では Gzip や Deflate などの一般的な圧縮メカニズムも提供され、これにより帯域幅を効率的に使用できます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\パフォーマンス","3","System.String[]","Web-WebServer","ServerComponent_Web_Performance","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Stat-Compression","静的なコンテンツの圧縮","静的なコンテンツの圧縮は、静的なコンテンツの HTTP 圧縮を構成するためのインフラストラクチャです。これにより、帯域幅の効率的な使用が可能になります。動的な応答とは異なり、圧縮された静的な応答はキャッシュすることができ、CPU リソースの能力を低下させることはありません。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\パフォーマンス\静的なコンテンツの圧縮","4","System.String[]","Web-Performance","ServerComponent_Web_Stat_Compression","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Dyn-Compression","動的なコンテンツの圧縮","動的なコンテンツの圧縮は、動的なコンテンツの HTTP 圧縮を構成するためのインフラストラクチャです。動的な圧縮を有効にすると常に帯域幅を有効に利用できますが、サーバーのプロセッサ使用量が既に非常に高い場合は、動的な圧縮による CPU 負荷でサイトのパフォーマンスが低下する可能性があります。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\パフォーマンス\動的なコンテンツの圧縮","4","System.String[]","Web-Performance","ServerComponent_Web_Dyn_Compression","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Health","状態と診断","状態と診断は、Web サーバー、Web サイト、Web アプリケーションの正常性を監視、管理、トラブルシューティングするためのインフラストラクチャです。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断","3","System.String[]","Web-WebServer","ServerComponent_Web_Health","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Http-Logging","HTTP ログ","HTTP ログを使用すると、このサーバーに対する Web サイト アクティビティをログに記録できます。ログ可能なイベント (通常 HTTP トランザクション) が発生したとき、IIS では選択されているログ モジュールが呼び出され、そのログ モジュールによって、Web サーバーのファイル システムに格納されているログの 1 つに書き込みが行われます。これらのログは、オペレーティング システムで提供されるログとは別の追加ログです。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\HTTP ログ","4","System.String[]","Web-Health","ServerComponent_Web_Http_Logging","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-ODBC-Logging","ODBC ログ","ODBC ログは、Web サーバー アクティビティを ODBC 準拠のデータベースにログとして記録するためのサポート インフラストラクチャです。ログ データベースを使用すると、HTML ページ上でログ データベースのデータをプログラムにより表示し操作できます。特定イベントのログを検索し、監視するユーザー定義イベントを確認するなどの場合に便利です。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\ODBC ログ","4","System.String[]","Web-Health","ServerComponent_Web_ODBC_Logging","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Custom-Logging","カスタム ログ","カスタム ログを使用すると、IIS でのログ ファイル生成とは大きく異なる形式で、Web サーバー アクティビティをログに記録できます。独自のログ モジュールを作成する場合に使用してください。カスタム ログ モジュールは、ILogPlugin または ILogPluginEx を実装する新しい COM コンポーネントを登録すると、IIS に追加されます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\カスタム ログ","4","System.String[]","Web-Health","ServerComponent_Web_Custom_Logging","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Http-Tracing","トレース","トレースは、Web アプリケーションを診断しトラブルシューティングするためのインフラストラクチャです。失敗した要求のトレースを行うと、パフォーマンスの低下や認証関連の失敗など捕捉が難しいイベントをトラブルシューティングできます。この機能では要求のトレース イベントがバッファーされ、要求が失敗してユーザー定義のエラー状態になったときにのみ、バッファー内のトレース イベントがディスクにフラッシュされます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\トレース","4","System.String[]","Web-Health","ServerComponent_Web_Http_Tracing","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Log-Libraries","ログ ツール","ログ ツールは、Web サーバーのログを管理し、一般的なログ タスクを自動化するためのインフラストラクチャです。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\ログ ツール","4","System.String[]","Web-Health","ServerComponent_Web_Log_Libraries","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Request-Monitor","要求の監視","要求の監視は、Web アプリケーションの状態を監視するためのインフラストラクチャです。IIS のワーカー プロセスで HTTP 要求に関する情報を取得することによって監視を行います。ワーカー プロセスが応答しなくなったり処理が非常に遅くなった場合、管理者と開発者は要求の監視を使用して、ワーカー プロセスでどの HTTP 要求が実行されているかを確認できます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\状態と診断\要求の監視","4","System.String[]","Web-Health","ServerComponent_Web_Request_Monitor","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-App-Dev","アプリケーション開発","アプリケーション開発は、Web アプリケーションを開発およびホストするためのインフラストラクチャとして使用できます。さまざまな機能を使用して、Web コンテンツを作成したり IIS の機能を拡張することができます。通常、これらのテクノロジによって動的な処理を実行できるようになり、この結果生成された HTML 出力が IIS によって送信され、クライアント要求が処理されます。","False","Available","Role Service","Web サーバー (IIS)\Web サーバー\アプリケーション開発","3","System.String[]","Web-WebServer","ServerComponent_Web_App_Dev","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
